 Alm, Class
4,1
34,0
39,0
56,0
58,0
51,0
32,1
5,0
36,0
62,0
57,0
42,0
52,0
53,0
37,1
49,0
49,0
34,1
57,0
43,0
58,0
46,0
52,0
52,0
41,0
5,0
49,0
59,0
54,0
57,0
45,0
54,0
59,0
57,0
53,0
52,0
45,0
51,0
48,0
52,0
49,0
55,0
58,0
33,1
47,0
5,0
56,0
52,0
5,0
56,0
56,0
51,0
53,0
49,0
44,0
55,0
63,0
57,0
54,0
47,0
53,0
53,0
47,0
62,0
58,0
58,0
55,0
55,0
38,1
5,0
45,0
3,1
34,1
64,0
58,0
59,0
58,0
53,0
47,0
49,0
31,1
3,0
51,0
61,0
56,0
34,1
51,0
52,0
49,0
52,0
52,0
61,0
61,0
49,0
49,0
5,0
34,1
34,1
3,1
3,1
3,1
33,1
53,0
49,0
54,0
63,0
48,0
5,0
52,0
45,0
53,0
55,0
62,0
66,0
43,0
59,0
59,0
6,0
43,1
42,1
36,0
52,0
46,0
32,1
42,1
43,0
5,0
34,1
42,1
39,1
35,1
6,0
41,0
6,0
34,0
54,0
54,0
38,0
36,0
47,1
48,0
53,0
54,0
56,0
56,0
6,0
5,0
29,1
57,0
54,0
56,0
4,0
33,0
39,1
58,0
48,0
52,0
52,0
46,0
47,0
49,0
44,0
54,0
47,0
5,0
36,1
46,0
57,0
47,0
65,0
33,1
56,0
54,0
33,1
53,0
54,0
42,0
51,0
52,0
52,0
46,0
52,0
51,0
5,0
47,0
51,0
53,0
41,1
4,0
45,0
55,0
52,0
45,0
46,0
49,0
45,0
61,0
42,0
48,0
54,0
5,0
54,0
6,0
55,0
63,0
52,0
54,0
53,0
54,0
45,0
47,0
49,0
61,0
53,0
32,0
35,0
41,0
54,0
46,0
5,0
43,0
56,0
54,0
53,0
56,0
62,0
59,0
53,0
64,0
6,0
64,0
58,0
53,0
63,0
67,0
55,0
58,0
61,0
59,0
56,0
61,0
54,0
6,0
57,0
55,0
5,0
51,0
47,0
5,0
49,0
35,0
51,0
5,0
45,0
44,0
51,0
42,0
49,0
62,0
62,0
53,0
54,0
47,0
56,0
54,0
58,0
53,0
48,0
56,0
55,0
49,0
4,0
5,0
5,0
46,0
52,0
53,0
32,0
29,1
55,0
52,0
57,0
54,0
45,0
57,0
55,0
53,0
39,0
53,0
37,0
52,0
53,0
53,0
68,0
67,0
44,0
55,0
44,0
5,0
51,0
54,0
53,0
55,0
61,0
6,0
58,0
51,0
5,0
49,0
58,0
59,0
54,0
47,0
58,0
49,0
42,0
38,0
4,0
34,0
58,0
56,0
45,1
49,0
48,0
37,0
56,0
52,0
5,0
5,0
59,0
44,0
57,0
36,1
54,0
53,0
57,0
46,0
51,0
5,0
49,0
44,0
38,1
6,0
59,0
32,0
26,0
49,0
57,0
45,0
55,0
58,0
49,0
47,0
43,0
52,0
58,0
49,0
47,0
62,0
5,0
49,0
49,0
6,0
54,0
48,0
53,0
58,0
5,0
52,0
48,0
57,0
51,0
35,1
37,1
54,0
34,1
57,0
51,0
43,0
51,0
52,0
51,0
5,1
44,0
3,1
3,1
33,0
54,0
27,0
29,0
34,1
3,1
51,0
36,1
52,0
54,0
48,0
5,0
5,0
56,0
41,0
53,0
34,1
58,0
53,0
51,0
46,0
53,0
54,0
48,0
57,0
56,0
57,0
56,0
56,0
5,0
45,0
54,0
52,0
54,0
46,0
6,0
52,0
48,0
49,0
58,0
53,0
57,0
48,0
56,0
52,0
55,0
56,0
48,0
4,0
51,0
35,0
53,0
5,0
56,0
53,0
47,0
51,0
41,0
33,1
5,0
5,0
54,0
59,0
54,0
59,0
47,0
5,0
54,0
53,0
48,0
51,0
52,0
5,0
49,0
53,0
51,0
53,0
56,0
59,0
51,0
51,0
5,0
51,0
5,0
54,0
54,0
54,0
43,0
6,0
55,0
52,0
39,1
53,0
56,0
54,0
5,0
58,0
34,0
59,0
46,0
51,0
44,0
64,0
5,0
48,0
57,0
5,0
32,0
51,0
64,0
59,0
59,0
56,0
57,0
54,0
54,0
58,0
52,0
54,0
43,0
61,0
63,0
55,0
55,0
57,0
55,0
56,0
48,0
63,0
47,0
63,0
53,0
55,0
5,0
51,0
48,0
69,0
69,0
52,0
52,0
48,0
48,0
59,0
56,0
56,0
52,0
64,0
63,0
63,0
64,0
55,0
67,0
5,0
53,0
61,0
61,0
65,0
65,0
79,0
10,0
47,0
55,0
56,0
58,0
48,0
55,0
49,0
53,0
52,0
45,0
61,0
54,0
54,0
52,0
54,0
54,0
64,0
59,0
59,0
57,0
57,0
52,0
52,0
58,0
54,0
62,0
6,0
62,0
52,0
52,0
58,0
51,0
4,1
55,0
44,0
53,0
48,0
38,0
52,0
47,0
49,0
4,0
47,0
51,0
44,0
56,0
53,0
52,0
58,0
52,0
5,0
32,0
47,0
53,0
32,1
51,0
35,1
37,1
56,0
38,0
46,0
57,0
5,0
63,0
54,0
4,0
33,1
47,0
57,0
53,0
34,0
53,0
47,0
34,0
67,0
53,0
53,0
55,0
49,0
47,0
57,0
48,0
56,0
57,0
52,0
38,1
53,0
36,1
68,0
53,0
36,1
51,0
58,0
34,0
32,0
51,0
24,1
22,1
51,0
55,0
38,1
47,0
57,0
6,0
54,0
57,0
38,1
58,0
45,0
6,0
58,0
58,0
51,0
51,0
46,0
5,0
49,0
46,0
51,0
52,0
45,0
45,0
67,0
54,0
36,0
45,0
59,0
5,0
51,0
56,0
42,0
54,0
53,0
51,0
59,0
54,0
48,0
47,1
61,0
51,0
49,0
46,0
55,0
51,0
51,0
51,0
63,0
49,0
47,0
6,0
21,1
53,0
38,1
63,0
41,1
55,0
32,0
52,0
38,1
67,0
72,0
53,0
56,0
49,0
32,0
46,0
58,0
58,0
55,0
41,1
55,0
46,0
45,0
55,0
54,0
37,0
5,0
52,0
61,0
53,0
27,0
31,1
49,0
46,0
46,0
47,0
52,0
47,0
49,0
52,0
49,0
5,0
5,0
52,0
56,0
48,0
53,0
55,0
45,0
63,0
57,0
56,0
65,0
5,0
52,0
59,0
55,0
57,0
5,0
62,0
5,0
58,0
52,0
5,0
57,0
51,0
51,0
53,0
42,0
43,0
51,0
53,0
63,0
59,0
53,0
5,0
42,0
49,0
53,0
54,0
54,0
75,0
53,0
48,0
5,0
39,1
41,1
49,0
52,0
53,0
51,0
44,0
48,0
6,0
57,0
53,0
55,0
5,0
56,0
61,0
48,0
51,0
49,0
36,1
57,0
62,0
46,0
5,0
44,0
47,0
48,0
63,0
54,0
56,0
56,0
58,0
45,1
6,0
5,0
6,0
48,0
55,0
52,0
58,0
32,0
32,0
52,0
47,0
54,0
52,0
42,0
48,0
51,0
57,0
35,0
52,0
29,0
56,0
36,0
36,1
41,1
43,0
27,0
41,0
4,1
6,0
49,0
46,1
46,0
37,1
46,0
43,1
57,0
55,0
36,1
47,0
37,1
47,0
38,1
46,0
43,0
46,0
37,0
32,1
49,0
49,0
52,0
41,1
32,0
36,1
31,1
39,1
39,0
53,0
34,1
42,1
39,1
35,0
56,0
42,0
36,1
45,0
36,1
56,0
47,0
44,0
38,1
43,0
42,1
63,0
32,0
33,1
45,1
5,1
43,1
52,0
37,1
34,0
57,0
41,0
47,0
35,1
44,0
3,1
49,0
46,0
34,1
51,0
46,0
49,0
3,0
59,0
4,1
39,0
58,0
44,0
46,0
46,0
58,0
5,0
52,0
38,0
47,0
47,0
5,0
62,0
54,0
54,0
57,0
5,0
54,0
64,0
66,0
43,0
61,0
36,0
54,0
47,0
48,0
54,0
52,0
6,0
57,0
36,0
47,0
45,0
57,0
51,0
41,0
56,0
48,0
59,0
44,0
47,0
56,0
54,0
46,0
4,0
52,0
64,0
39,0
54,0
55,0
54,0
54,0
5,0
56,0
53,0
48,0
71,0
5,0
61,0
5,0
52,0
31,0
54,0
58,0
38,0
62,0
45,0
49,0
6,0
58,0
58,0
59,0
75,0
75,0
48,0
57,0
38,0
6,0
53,0
49,0
59,0
54,0
52,0
49,0
59,0
54,0
39,0
41,1
38,1
55,0
51,0
41,0
51,0
47,0
36,1
54,0
48,0
52,0
47,0
47,0
34,1
54,0
51,0
5,0
38,0
48,0
48,0
61,0
63,0
49,0
5,0
56,0
56,0
49,0
52,0
58,0
37,1
3,1
53,0
47,0
35,1
61,0
49,0
37,0
32,0
33,0
47,0
38,0
45,1
45,0
54,0
42,0
57,0
51,0
38,1
55,0
48,0
43,0
56,0
58,0
62,0
57,0
54,0
42,0
35,1
55,0
49,0
59,0
59,0
58,0
64,0
61,0
56,0
54,0
51,0
57,0
5,0
52,0
51,0
51,0
49,0
55,0
51,0
64,0
54,0
57,0
54,0
61,0
53,0
52,0
45,0
59,0
6,0
53,0
55,0
5,0
43,0
53,0
39,1
54,0
48,0
48,0
5,0
54,0
5,0
49,0
38,1
56,0
51,0
52,0
44,0
53,0
59,0
56,0
55,0
53,0
5,0
53,0
58,0
58,0
5,0
64,0
57,0
57,0
57,0
53,0
47,0
55,0
65,0
54,0
52,0
45,0
45,0
67,0
10,0
47,0
52,0
47,0
56,0
46,0
61,0
65,0
6,0
62,0
58,0
5,0
33,1
55,0
55,0
49,0
49,0
46,0
44,0
56,0
35,1
39,1
46,0
55,0
52,0
45,0
51,0
53,0
55,0
49,0
31,1
44,0
56,0
62,0
51,0
55,0
54,0
54,0
51,0
51,0
51,0
51,0
51,0
23,1
43,1
43,1
45,0
56,0
28,1
53,0
39,1
42,0
46,0
65,0
6,0
38,1
49,0
48,0
44,0
51,0
54,0
75,0
54,0
51,0
51,0
53,0
35,0
53,0
49,0
55,0
33,1
47,0
55,0
51,0
35,0
35,0
56,0
53,0
49,0
51,0
45,0
56,0
41,0
46,1
5,0
57,0
38,1
4,0
4,1
47,0
26,1
45,1
36,1
3,1
47,0
33,1
41,1
47,0
35,0
6,0
61,0
49,0
37,0
45,0
29,1
57,0
6,0
