Mcg, Alm, Mit, Pox, Vac, Class
28,61,9,0,52,0
59,5,14,0,45,0
39,48,31,0,54,0
26,47,34,0,53,0
51,5,19,0,5,0
58,5,12,0,48,0
44,53,14,0,54,0
41,44,34,0,48,0
45,51,24,0,54,0
36,46,16,0,53,0
42,5,15,0,53,0
67,52,65,0,53,0
4,71,21,0,54,0
54,49,2,0,52,0
57,53,18,0,56,0
35,43,11,0,56,1
42,42,2,0,49,1
26,33,28,0,51,1
39,38,4,0,49,1
26,3,11,0,51,1
31,53,23,0,51,0
48,44,2,0,47,0
66,5,23,0,49,0
21,55,11,0,5,0
38,44,45,0,53,0
44,48,32,83,53,0
31,56,33,0,52,0
49,49,35,0,51,0
38,56,21,0,49,0
39,53,67,0,47,0
24,69,18,0,52,0
49,51,13,0,47,0
54,52,18,0,48,0
43,53,53,0,53,0
31,52,17,0,52,0
32,52,24,0,6,0
37,51,11,0,57,0
75,38,27,0,49,0
44,6,21,0,57,0
52,51,54,0,55,0
63,45,58,0,51,0
72,34,29,0,56,0
72,37,3,0,57,0
57,44,37,0,52,0
42,41,65,0,46,0
59,34,22,0,51,0
52,38,34,0,51,0
5,6,51,0,48,0
49,43,56,0,36,0
5,44,5,0,42,0
5,56,7,0,5,0
37,44,51,0,44,0
55,45,54,0,5,0
67,46,29,0,46,0
53,46,28,0,48,0
47,59,49,0,56,0
73,43,3,0,55,0
7,54,28,0,6,0
47,37,14,0,5,1
56,48,17,0,46,0
56,58,21,0,42,0
58,45,12,0,51,0
53,66,25,0,43,0
34,54,11,0,36,0
69,38,27,0,52,0
37,6,19,5,42,0
41,53,17,0,51,0
31,54,52,0,5,0
36,33,14,0,57,1
82,49,23,0,46,0
82,54,23,0,46,0
41,58,15,0,45,0
53,51,33,0,52,0
46,71,15,0,59,0
53,6,13,0,49,0
42,72,22,0,57,0
2,52,14,0,53,0
51,55,14,0,51,0
44,45,51,0,52,0
27,66,11,0,44,0
55,34,3,0,52,1
34,3,23,0,53,1
44,52,23,83,51,0
59,56,21,0,54,0
39,46,12,0,41,0
56,54,16,0,5,0
35,59,22,0,47,0
42,5,21,0,51,0
55,56,22,0,5,0
8,5,15,0,53,0
6,47,2,0,5,0
47,54,62,0,53,0
43,54,14,0,47,0
53,52,21,0,55,0
54,41,16,0,52,0
46,53,16,0,51,0
51,35,16,0,51,1
56,55,19,0,54,0
37,46,23,0,47,0
83,33,4,0,53,0
39,53,18,0,54,0
52,5,21,0,48,0
35,57,11,0,48,0
36,3,22,0,52,1
78,32,23,0,53,0
55,53,11,0,52,0
45,53,32,0,57,0
29,4,15,0,53,1
52,37,14,0,46,1
58,43,12,0,55,1
54,49,34,0,52,0
57,44,16,0,52,0
59,46,19,0,56,0
92,4,22,0,54,0
55,45,14,0,54,0
36,43,19,0,48,1
34,45,19,0,51,0
62,46,13,0,53,0
53,42,19,0,53,1
73,41,16,0,46,0
55,46,31,0,58,0
35,47,13,0,52,0
77,47,37,0,48,0
35,49,15,0,55,0
43,48,14,0,5,0
57,45,26,0,5,0
63,42,12,0,52,0
25,51,18,0,5,0
56,53,24,0,57,0
58,51,24,0,53,0
71,53,15,0,49,0
46,33,17,0,55,1
54,42,22,0,48,1
39,28,12,0,46,1
33,49,8,0,48,0
46,44,21,0,55,0
35,57,17,0,52,0
54,52,19,0,59,0
42,4,17,0,5,1
91,34,47,0,52,0
81,39,41,0,53,0
45,56,14,0,54,0
47,58,16,0,49,0
41,51,52,0,49,0
37,32,22,0,56,1
69,5,31,0,55,0
84,36,78,0,49,0
37,62,27,0,48,0
55,57,32,0,57,0
48,42,21,0,57,0
62,52,15,0,52,0
56,53,16,0,24,0
44,37,15,0,51,1
44,49,15,0,46,0
6,49,3,0,53,0
49,34,21,0,55,1
35,57,4,0,53,0
7,43,33,0,58,0
23,58,22,0,48,0
51,46,15,0,51,0
32,52,2,0,52,0
59,52,3,0,46,0
41,41,11,0,54,0
37,5,12,0,51,0
45,49,17,0,52,0
56,59,14,0,52,0
31,54,18,0,52,0
54,57,18,0,45,0
17,45,9,0,54,0
43,54,15,0,45,0
6,59,18,0,48,0
91,57,45,0,56,0
38,53,12,0,48,0
59,52,19,0,55,0
64,45,13,0,53,0
52,51,12,0,51,0
49,48,15,0,55,0
49,52,16,0,53,0
48,49,18,0,51,0
44,55,18,0,52,0
43,58,16,0,5,0
2,33,1,0,48,1
3,47,11,0,46,0
31,5,17,0,49,0
55,56,21,0,52,0
4,52,17,0,47,0
4,5,17,0,54,0
58,56,1,0,46,0
58,56,12,0,46,0
58,51,26,0,51,0
41,53,29,0,47,0
69,49,42,0,49,0
6,44,52,0,54,0
28,55,11,0,46,0
56,63,39,0,59,0
46,57,15,0,52,0
43,54,22,0,57,0
48,47,14,0,47,0
35,53,18,0,42,0
47,53,62,0,46,0
53,47,15,0,58,0
44,62,14,0,55,0
37,58,24,0,44,0
37,58,24,0,44,0
39,55,52,0,37,0
39,55,52,0,37,0
48,38,29,0,53,1
48,5,9,0,52,0
61,45,21,0,5,0
51,3,35,0,53,1
53,34,42,0,54,1
37,64,35,0,47,0
51,58,22,0,5,0
49,59,17,0,51,0
51,58,22,0,5,0
53,53,17,0,49,0
29,47,26,0,47,0
5,49,15,0,55,0
33,31,24,0,53,1
85,3,31,0,55,0
43,51,28,0,4,0
34,61,19,0,52,0
55,56,29,0,48,0
37,34,25,0,51,1
45,51,64,0,54,0
38,52,75,0,5,0
61,49,19,0,54,0
44,52,37,0,5,0
44,52,37,0,5,0
32,61,17,0,52,0
34,61,18,0,52,0
51,49,59,0,54,0
41,49,28,0,54,0
41,5,28,0,5,0
3,34,26,0,51,1
49,34,26,0,5,1
34,3,23,0,51,1
43,3,18,0,51,1
45,3,17,0,51,1
42,33,17,0,54,1
52,53,1,0,48,0
53,49,46,0,52,0
45,54,62,0,53,0
51,63,18,0,52,0
51,48,5,0,51,0
55,5,46,0,52,0
5,52,16,0,52,0
5,45,44,0,49,0
45,53,74,0,47,0
57,55,67,0,48,0
54,62,13,0,52,0
47,66,45,0,37,0
51,43,18,0,48,0
56,59,14,0,51,0
45,59,18,0,44,0
43,6,25,0,55,0
47,43,13,0,56,1
4,42,17,0,54,1
89,36,71,0,55,0
58,52,22,0,44,0
59,46,14,0,52,0
49,32,21,0,5,1
5,42,32,0,56,1
68,43,27,0,61,0
46,5,44,0,53,0
32,34,19,0,55,1
4,42,13,0,45,1
65,39,3,0,57,1
47,35,32,0,54,1
42,6,14,0,45,0
23,41,28,0,5,0
34,6,37,0,5,0
67,34,41,0,6,0
54,54,52,0,47,0
53,54,56,0,49,0
84,38,23,0,53,0
89,36,34,0,44,0
36,47,22,0,44,1
57,48,16,0,51,0
43,53,52,0,49,0
38,54,10,0,5,0
43,56,27,0,47,0
27,56,18,0,52,0
89,6,49,0,55,0
86,5,37,0,53,0
37,29,32,0,51,1
87,57,36,0,36,0
52,54,28,0,54,0
76,56,34,0,51,0
58,4,37,0,54,0
94,33,49,0,54,0
42,39,22,0,49,1
52,58,55,0,48,0
42,48,16,0,55,0
48,52,61,0,51,0
83,52,2,0,48,0
36,46,19,0,52,0
51,47,19,0,52,0
54,49,14,0,56,0
44,44,13,0,49,0
52,54,19,0,5,0
53,47,22,0,53,0
48,5,47,0,55,0
46,36,21,0,5,1
46,46,16,0,51,0
52,57,57,0,51,0
78,47,3,0,53,0
49,65,18,0,46,0
39,33,23,0,53,1
39,56,15,0,5,0
33,54,28,0,53,0
39,33,23,0,52,1
33,53,26,0,52,0
47,54,48,0,53,0
72,42,28,0,48,0
41,51,19,0,57,0
81,52,41,0,57,0
5,52,2,0,43,0
18,46,12,0,0,0
26,52,36,0,48,0
53,51,11,0,49,0
58,5,41,0,57,0
62,47,16,0,53,0
68,51,19,83,54,0
4,53,52,0,51,0
51,41,44,0,5,1
72,4,26,0,51,0
49,45,22,0,51,0
32,55,25,0,49,0
46,52,28,0,52,0
53,45,44,0,49,0
49,46,63,0,52,0
68,49,15,0,53,0
55,45,18,0,49,0
4,61,21,0,48,0
57,42,2,0,54,0
4,48,18,0,46,0
34,54,13,0,52,0
55,5,28,0,55,0
29,54,27,0,49,0
46,6,21,0,4,0
8,55,35,0,42,0
45,63,67,0,48,0
66,52,44,0,56,0
54,54,2,0,55,0
37,53,16,0,53,0
48,54,55,0,51,0
6,45,23,0,55,0
45,47,65,0,54,0
66,49,16,0,54,0
46,61,13,0,47,0
42,53,22,83,5,0
66,32,54,0,51,0
74,35,36,0,51,0
89,41,26,0,52,0
67,54,21,0,43,0
58,46,34,0,5,0
4,5,82,0,44,0
59,43,26,0,51,0
39,56,12,0,53,0
6,54,4,0,5,0
36,53,48,0,48,0
51,56,38,0,46,0
57,62,3,0,48,0
52,59,31,0,5,0
42,53,64,0,47,0
5,64,36,0,49,0
6,6,38,83,52,0
6,64,52,0,47,0
53,58,29,0,5,0
41,53,41,0,39,0
45,63,4,0,59,0
44,67,35,0,48,0
57,55,27,0,44,0
57,58,35,0,49,0
56,61,49,0,46,0
6,59,16,0,49,0
36,56,44,0,48,0
53,61,35,0,5,0
62,54,47,0,46,0
55,6,31,0,46,0
58,57,46,0,51,0
65,55,52,0,47,0
58,5,53,0,47,0
61,51,37,0,51,0
55,47,64,0,54,0
54,5,13,0,49,0
4,49,16,0,51,0
76,35,27,0,44,0
51,51,42,0,53,0
43,5,29,0,5,0
49,45,55,0,48,0
32,44,2,0,55,0
51,51,26,0,54,0
49,42,46,0,55,0
5,49,61,0,5,0
52,62,12,0,41,0
51,62,24,0,52,0
46,53,31,0,48,0
58,54,69,0,54,0
61,47,49,0,54,0
63,56,12,0,5,0
55,54,4,0,48,0
41,58,62,0,5,0
44,53,37,0,51,0
57,48,24,0,55,0
46,56,12,0,55,0
47,55,28,0,44,0
39,49,17,0,49,0
58,4,21,0,5,0
53,5,24,0,47,0
43,5,18,0,5,0
41,46,19,0,36,0
58,52,25,0,57,0
51,53,19,0,49,0
81,32,37,0,41,0
44,29,21,0,49,1
49,55,17,0,44,0
56,52,2,0,34,0
42,57,18,0,42,0
51,54,41,0,53,0
37,45,14,0,47,0
37,57,4,0,48,0
36,55,26,0,49,0
5,53,41,0,55,0
59,39,52,0,5,0
78,53,13,0,54,0
47,37,31,0,51,0
48,52,3,0,51,0
48,53,6,0,53,0
33,53,29,0,5,0
39,68,3,0,5,0
11,67,13,0,45,0
4,44,18,0,54,0
47,55,19,0,62,0
35,44,27,0,51,0
36,5,19,0,55,0
49,51,18,0,52,0
35,54,26,0,52,0
43,53,34,0,55,0
33,55,16,0,53,0
44,61,13,0,49,0
87,6,47,0,59,0
3,58,16,0,61,0
75,51,29,0,52,0
47,5,15,0,5,0
51,49,16,0,53,0
45,58,48,0,53,0
9,59,2,0,48,0
88,54,39,0,41,0
7,47,24,0,53,0
25,58,3,0,58,0
69,49,0,0,47,0
83,42,57,0,5,0
43,38,12,0,5,0
78,4,16,0,63,0
52,34,16,0,57,0
41,58,22,0,52,0
58,56,16,0,34,0
48,45,23,0,51,1
39,49,1,0,49,0
31,48,17,0,49,0
76,37,22,0,54,0
28,56,16,0,48,0
69,52,12,0,38,0
64,5,26,0,51,0
56,5,3,0,51,0
47,59,27,0,55,0
68,44,49,0,4,0
5,57,27,0,48,0
53,36,13,0,52,1
6,54,53,0,52,0
49,53,7,0,51,0
51,57,25,0,53,0
49,46,18,0,49,0
52,51,18,0,5,0
39,5,1,0,51,0
7,49,28,0,58,0
61,44,47,0,5,0
41,38,13,0,51,1
37,6,13,0,51,0
45,59,44,0,56,0
74,32,24,0,54,0
28,26,18,0,39,0
51,49,21,0,55,0
8,57,26,0,57,0
46,45,28,0,55,0
4,55,15,0,53,0
67,58,3,0,57,0
5,49,49,0,48,0
45,47,43,0,5,0
75,43,35,0,45,0
56,52,39,0,36,0
59,58,21,0,49,0
48,49,35,5,51,0
59,47,61,0,44,0
5,62,25,0,51,0
57,5,2,0,51,0
62,49,29,0,5,0
45,49,14,0,53,0
47,6,15,0,38,0
41,54,24,0,37,0
48,48,19,0,58,0
43,53,19,0,56,0
48,58,26,0,44,0
74,5,28,0,5,0
38,52,14,0,53,0
77,48,26,0,51,0
44,57,22,0,5,0
74,51,27,0,5,0
39,35,28,0,51,1
38,37,19,0,52,1
4,54,13,0,48,0
31,34,19,0,55,1
5,57,49,0,48,0
59,51,62,0,51,0
45,43,22,0,51,0
77,51,28,0,33,0
74,52,3,0,27,0
77,51,27,0,34,0
47,5,23,0,49,1
78,44,26,0,54,0
49,3,34,0,5,1
27,3,14,0,52,1
4,33,17,0,51,0
55,54,2,0,56,0
95,27,39,0,31,0
97,29,42,0,35,0
44,34,21,0,55,1
39,3,19,0,52,1
38,51,13,0,5,0
27,36,26,0,49,1
49,52,2,0,55,0
36,54,16,0,5,0
54,48,14,0,49,0
37,5,26,0,52,0
25,5,23,0,5,0
56,56,26,0,53,0
41,41,15,0,54,0
5,53,21,0,28,0
66,34,2,0,62,1
42,58,34,0,5,0
45,53,15,0,52,0
42,51,23,0,53,0
51,46,29,0,54,0
63,53,51,0,55,0
55,54,16,0,45,0
53,48,14,0,51,0
42,57,17,0,49,0
52,56,2,0,5,0
53,57,24,0,39,0
33,56,19,0,5,0
45,56,56,0,47,0
56,5,17,0,51,0
77,45,17,0,53,0
56,54,18,0,48,0
33,52,9,0,47,0
48,54,39,0,51,0
3,46,32,0,45,0
38,6,1,0,48,0
62,52,17,0,48,0
52,48,13,0,55,0
32,49,17,0,47,0
34,58,2,0,46,0
33,53,15,0,52,0
49,57,24,0,47,0
4,48,6,0,49,0
51,56,25,0,51,0
45,52,17,0,54,0
28,55,19,0,57,0
51,56,28,0,54,0
59,48,46,0,49,0
51,4,65,0,49,0
37,51,56,0,5,0
81,35,34,0,51,0
53,53,18,0,42,0
45,5,33,0,53,0
48,56,11,0,33,0
35,53,19,0,48,0
6,47,47,0,53,0
45,51,42,0,52,0
29,41,48,0,53,0
58,33,26,0,51,1
46,5,24,0,48,0
43,5,21,0,49,0
49,54,4,0,55,0
64,59,14,0,53,0
57,54,17,0,52,0
38,59,19,0,46,0
24,47,16,0,51,0
33,5,4,0,46,0
39,54,24,0,51,0
43,53,18,0,46,0
47,48,16,0,46,0
52,51,2,0,51,0
33,52,15,0,51,0
36,5,13,0,49,0
45,49,29,0,49,0
55,53,15,0,49,0
43,51,34,0,49,0
64,53,1,0,51,0
41,56,26,0,48,0
48,59,41,0,56,0
49,51,29,0,52,0
41,51,22,0,52,0
51,5,23,0,52,0
59,51,53,0,53,0
4,5,16,0,51,0
61,54,11,0,47,0
66,54,18,0,43,0
53,54,37,0,51,0
41,43,61,0,53,0
58,6,12,0,47,0
44,55,16,0,49,0
57,52,16,0,49,0
45,39,11,0,54,1
32,53,28,0,5,0
35,56,28,0,47,0
47,54,19,0,51,0
34,5,26,0,51,0
55,58,25,0,49,0
4,34,21,0,52,0
42,59,3,0,47,0
6,46,32,0,4,0
64,51,35,0,53,0
35,44,25,0,53,0
55,64,42,0,47,0
45,5,25,0,47,0
47,48,51,0,54,0
45,57,25,0,48,0
45,5,12,0,6,0
56,32,49,0,48,0
47,51,33,0,46,0
43,64,19,0,38,0
38,59,25,0,44,0
39,59,25,0,45,0
54,56,14,0,5,0
45,57,29,0,44,0
43,54,37,0,38,0
43,54,37,0,38,0
51,58,19,0,47,0
72,52,8,0,54,0
56,54,15,0,5,0
57,43,27,0,53,0
57,61,26,0,52,0
48,63,19,0,58,0
54,55,18,0,5,0
38,55,44,0,47,0
4,57,13,0,46,0
27,55,13,0,5,0
52,56,25,0,52,0
34,48,32,0,42,0
5,63,25,0,42,0
46,47,37,0,51,0
57,63,22,0,68,0
37,53,14,0,49,0
36,55,21,0,55,0
29,5,16,0,51,0
37,51,15,0,58,0
35,48,42,0,47,0
46,69,18,0,3,0
46,69,18,0,3,0
57,52,3,0,37,0
57,52,3,0,37,0
59,48,12,0,54,0
59,48,12,0,54,0
61,59,17,0,44,0
61,56,19,0,53,0
61,56,19,0,53,0
44,52,18,0,5,0
37,64,48,0,36,0
72,63,38,0,4,0
72,63,38,0,4,0
44,64,45,0,53,0
58,55,27,0,48,0
43,67,12,0,43,0
58,5,26,0,52,0
38,53,22,0,48,0
4,61,29,0,44,0
4,61,29,0,44,0
34,65,4,0,32,0
34,65,4,0,32,0
43,79,79,0,22,0
35,10,8,0,13,0
56,47,35,0,52,0
54,55,48,0,47,0
35,56,2,0,49,0
48,58,16,0,45,0
48,48,1,0,55,0
69,55,23,0,73,0
42,49,36,0,57,0
44,53,27,0,49,0
56,52,19,0,52,0
46,45,22,0,41,0
52,61,22,0,45,0
32,54,21,0,4,0
32,54,21,0,4,0
48,52,33,0,51,0
46,54,22,0,48,0
46,54,22,0,48,0
42,64,13,0,49,0
46,59,41,0,53,0
46,59,41,0,53,0
39,57,19,0,44,0
39,57,19,0,43,0
38,52,44,0,54,0
38,52,44,0,54,0
51,58,17,0,47,0
57,54,22,0,5,0
5,62,23,0,35,0
53,6,36,0,5,0
37,62,43,0,44,0
6,52,14,0,46,0
42,52,29,0,42,0
49,58,23,0,47,0
37,51,38,0,44,0
57,4,8,0,47,1
34,55,28,0,51,0
77,44,27,0,48,0
59,53,14,0,48,0
5,48,23,0,53,0
39,38,41,0,5,0
56,52,14,0,51,0
52,47,49,0,54,0
56,49,56,0,49,0
54,4,56,0,51,0
47,47,52,0,54,0
46,51,16,0,56,0
55,44,2,0,56,0
49,56,9,0,46,0
38,53,12,0,55,0
55,52,13,0,53,0
46,58,17,0,55,0
34,52,19,0,53,0
44,5,21,0,54,0
56,32,22,0,5,0
41,47,9,0,49,0
44,53,3,0,53,0
51,32,27,0,54,1
46,51,2,0,51,0
55,35,26,0,49,1
65,37,12,0,52,1
41,56,17,0,56,0
39,38,14,0,5,0
37,46,15,0,51,0
59,57,18,0,51,0
48,5,24,0,54,0
39,63,2,0,43,0
47,54,25,0,54,0
77,4,36,0,38,0
42,33,23,0,39,1
48,47,29,0,46,0
54,57,34,0,49,0
7,53,24,0,48,0
85,34,31,0,57,0
47,53,44,0,53,0
53,47,21,0,53,0
7,34,19,0,53,0
42,67,7,0,42,0
47,53,18,0,47,0
4,53,23,0,44,0
42,55,31,0,43,0
42,49,22,0,55,0
47,47,22,0,53,0
56,57,15,0,54,0
32,48,13,0,53,0
46,56,25,0,43,0
47,57,17,0,52,0
37,52,13,0,42,0
46,38,22,0,39,1
8,53,33,0,51,0
52,36,37,0,52,1
19,68,36,0,49,0
64,53,15,0,53,0
4,36,33,0,51,1
47,51,2,0,52,0
48,58,18,0,38,0
57,34,13,0,53,0
23,32,13,0,53,0
54,51,26,0,52,0
27,24,2,0,49,1
25,22,18,0,46,1
39,51,29,0,54,0
33,55,24,0,45,0
37,38,18,0,51,1
43,47,18,0,47,0
66,57,6,0,19,0
33,6,18,0,51,0
51,54,11,0,6,0
54,57,17,0,44,0
45,38,28,0,53,1
54,58,4,0,46,0
46,45,23,0,48,0
4,6,23,0,52,0
52,58,18,0,34,0
52,58,18,0,34,0
5,51,19,0,53,0
57,51,18,0,51,0
44,46,28,0,45,0
46,5,28,0,5,0
77,49,46,0,38,0
38,46,21,0,52,0
32,51,16,83,55,0
27,52,17,0,49,0
52,45,13,0,48,0
37,45,15,0,49,0
37,67,37,0,56,0
44,54,18,0,49,0
48,36,24,0,54,0
59,45,22,0,45,0
73,59,25,0,51,0
5,5,17,0,46,0
23,51,16,0,53,0
52,56,16,0,55,0
49,42,18,0,58,0
6,54,11,0,51,0
55,53,2,0,4,0
47,51,24,0,54,0
53,59,27,0,45,0
31,54,32,0,53,0
25,48,18,0,42,0
55,47,15,0,47,1
61,61,21,0,55,0
5,51,22,0,46,0
62,49,24,0,51,0
56,46,17,0,49,0
52,55,16,0,53,0
53,51,18,0,52,0
51,51,26,0,51,0
53,51,18,0,51,0
44,63,11,0,49,0
51,49,45,0,48,0
38,47,12,0,47,0
19,6,14,0,2,0
25,21,14,0,41,1
7,53,39,0,59,0
4,38,17,0,57,1
36,63,25,0,3,0
49,41,19,0,48,1
3,55,19,0,53,0
88,32,3,0,52,0
45,52,21,0,54,0
46,38,35,0,49,1
55,67,61,0,49,0
28,72,26,0,49,0
66,53,17,0,47,0
48,56,29,0,51,0
33,49,22,0,55,0
58,32,11,0,49,0
74,46,24,0,5,0
75,58,22,0,49,0
58,58,16,0,51,0
51,55,21,0,52,0
43,41,32,0,52,1
41,55,13,0,55,0
23,46,0,0,43,0
25,45,32,0,4,0
38,55,44,0,48,0
61,54,38,0,54,0
48,37,33,0,44,0
47,5,19,0,51,0
55,52,16,0,49,0
41,61,17,0,5,0
41,53,16,0,55,0
78,27,28,0,56,0
31,31,17,0,52,1
44,49,16,0,48,0
48,46,37,0,46,0
5,46,22,0,53,0
62,47,16,0,52,0
5,52,18,0,52,0
59,47,21,0,47,0
39,49,2,0,53,0
49,52,24,0,5,0
59,49,42,0,52,0
57,5,43,0,53,0
61,5,44,0,53,0
49,52,13,0,51,0
45,56,15,0,52,0
63,48,11,0,51,0
52,53,34,0,52,0
54,55,33,0,55,0
55,45,25,0,51,0
58,63,2,0,5,0
63,57,1,0,52,0
54,56,15,0,57,0
41,65,14,0,49,0
47,5,15,0,49,0
33,52,13,0,51,0
42,59,17,0,51,0
54,55,4,0,53,0
31,57,15,0,5,0
38,5,19,0,44,0
33,62,26,0,55,0
38,5,19,0,44,0
47,58,19,0,44,0
32,52,18,0,48,0
28,5,14,0,5,0
41,57,25,0,57,0
44,51,16,0,58,0
44,51,16,0,6,0
4,53,15,0,49,0
79,42,26,0,6,0
8,43,24,0,54,0
55,51,12,0,51,0
47,53,12,0,51,0
57,63,22,0,49,0
52,59,21,0,47,0
41,53,17,0,48,0
45,5,19,0,53,0
49,42,43,0,5,0
44,49,27,0,52,0
25,53,17,0,45,0
49,54,18,0,35,0
42,54,17,0,51,0
42,75,21,0,48,0
63,53,27,0,49,0
54,48,27,0,44,0
4,5,13,0,52,0
55,39,47,0,5,1
59,41,53,0,48,1
49,49,15,0,53,0
53,52,29,0,55,0
33,53,12,0,5,0
57,51,25,0,54,0
59,44,26,0,5,0
5,48,34,0,52,0
52,6,2,0,52,0
59,57,17,0,52,0
53,53,19,0,47,0
59,55,17,0,52,0
61,5,58,0,5,0
5,56,17,0,35,0
36,61,33,0,52,0
52,48,12,0,54,0
56,51,25,0,54,0
47,49,27,0,59,0
43,36,26,0,52,1
5,57,28,0,57,0
46,62,3,0,38,0
59,46,19,0,54,0
27,5,13,0,54,0
42,44,17,0,51,0
49,47,28,0,56,0
34,48,19,0,46,0
6,63,22,0,5,0
53,54,52,0,49,0
48,56,23,0,6,0
47,56,9,0,5,0
4,58,44,0,41,0
5,45,14,0,53,1
55,6,18,0,51,0
55,5,9,0,55,0
66,6,25,0,69,0
51,48,55,0,52,0
44,55,14,0,52,0
6,52,15,0,55,0
48,58,12,0,49,0
57,32,15,0,52,0
4,32,16,0,51,0
5,52,16,0,51,0
65,47,22,0,52,0
25,54,16,0,43,0
63,52,21,0,5,0
56,42,36,0,49,0
57,48,17,0,52,0
46,51,13,0,47,0
5,57,17,0,59,0
78,35,25,0,49,0
64,52,17,0,54,0
10,29,36,0,52,0
51,56,55,0,46,0
69,36,9,0,56,0
49,36,15,0,52,1
39,41,27,0,49,1
45,43,22,0,57,0
77,27,37,0,49,0
88,41,36,0,43,0
49,4,2,0,48,1
57,6,28,0,52,0
53,49,27,0,51,0
33,46,22,0,53,1
45,46,29,0,42,0
26,37,15,0,53,1
28,46,18,0,47,0
45,43,16,0,52,1
24,57,28,0,51,0
46,55,29,0,49,0
22,36,22,0,54,1
25,47,14,0,56,0
43,37,18,0,54,1
4,47,25,0,54,0
46,38,12,0,5,1
29,46,36,0,51,0
4,43,19,83,48,0
57,46,2,83,52,0
77,37,12,0,49,0
47,32,27,0,5,1
71,49,23,0,3,0
59,49,49,0,36,0
58,52,7,0,46,0
3,41,17,0,51,1
74,32,2,0,55,0
55,36,29,0,51,1
35,31,16,0,56,1
67,39,24,0,51,1
69,39,19,0,48,0
47,53,27,0,47,0
39,34,18,0,49,1
51,42,21,0,46,1
32,39,14,0,45,1
75,35,33,0,49,0
54,56,18,0,46,0
71,42,28,0,43,0
28,36,16,0,53,1
58,45,32,0,52,0
52,36,26,0,44,1
64,56,15,0,56,0
48,47,17,0,53,0
4,44,37,0,53,0
38,38,16,0,53,1
8,43,25,0,52,0
63,42,18,0,54,1
47,63,19,0,52,0
83,32,21,0,51,0
39,33,23,0,47,1
5,45,13,0,45,1
2,5,29,0,51,1
29,43,17,0,55,1
92,52,23,0,53,0
49,37,2,0,53,1
86,34,15,0,53,0
38,57,14,0,53,0
72,41,28,0,44,0
8,47,19,0,49,0
49,35,23,0,57,1
63,44,53,0,52,0
6,3,27,0,55,1
4,49,17,0,51,0
51,46,13,0,48,0
52,34,2,0,51,1
34,51,15,0,54,0
35,46,14,0,54,0
58,49,16,0,47,0
85,3,31,0,55,0
41,59,44,0,6,0
