Mcg, Alm, Mit, Pox, Class
58,52,25,0,0
51,53,19,0,0
81,32,37,0,0
44,29,21,0,1
49,55,17,0,0
56,52,2,0,0
42,57,18,0,0
51,54,41,0,0
37,45,14,0,0
37,57,4,0,0
36,55,26,0,0
5,53,41,0,0
59,39,52,0,0
78,53,13,0,0
47,37,31,0,0
48,52,3,0,0
48,53,6,0,0
33,53,29,0,0
39,68,3,0,0
11,67,13,0,0
4,44,18,0,0
47,55,19,0,0
35,44,27,0,0
36,5,19,0,0
49,51,18,0,0
35,54,26,0,0
43,53,34,0,0
33,55,16,0,0
44,61,13,0,0
87,6,47,0,0
3,58,16,0,0
75,51,29,0,0
47,5,15,0,0
51,49,16,0,0
45,58,48,0,0
9,59,2,0,0
88,54,39,0,0
7,47,24,0,0
25,58,3,0,0
69,49,0,0,0
83,42,57,0,0
43,38,12,0,0
78,4,16,0,0
52,34,16,0,0
41,58,22,0,0
58,56,16,0,0
48,45,23,0,1
39,49,1,0,0
31,48,17,0,0
76,37,22,0,0
28,56,16,0,0
69,52,12,0,0
64,5,26,0,0
56,5,3,0,0
47,59,27,0,0
68,44,49,0,0
5,57,27,0,0
53,36,13,0,1
6,54,53,0,0
49,53,7,0,0
51,57,25,0,0
49,46,18,0,0
52,51,18,0,0
39,5,1,0,0
7,49,28,0,0
61,44,47,0,0
41,38,13,0,1
37,6,13,0,0
45,59,44,0,0
74,32,24,0,0
28,26,18,0,0
51,49,21,0,0
8,57,26,0,0
46,45,28,0,0
4,55,15,0,0
67,58,3,0,0
5,49,49,0,0
45,47,43,0,0
75,43,35,0,0
56,52,39,0,0
59,58,21,0,0
48,49,35,5,0
59,47,61,0,0
5,62,25,0,0
57,5,2,0,0
62,49,29,0,0
45,49,14,0,0
47,6,15,0,0
41,54,24,0,0
48,48,19,0,0
43,53,19,0,0
48,58,26,0,0
74,5,28,0,0
38,52,14,0,0
77,48,26,0,0
44,57,22,0,0
74,51,27,0,0
39,35,28,0,1
38,37,19,0,1
4,54,13,0,0
31,34,19,0,1
5,57,49,0,0
59,51,62,0,0
45,43,22,0,0
77,51,28,0,0
74,52,3,0,0
77,51,27,0,0
47,5,23,0,1
78,44,26,0,0
49,3,34,0,1
27,3,14,0,1
4,33,17,0,0
55,54,2,0,0
95,27,39,0,0
97,29,42,0,0
44,34,21,0,1
39,3,19,0,1
38,51,13,0,0
27,36,26,0,1
49,52,2,0,0
36,54,16,0,0
54,48,14,0,0
37,5,26,0,0
25,5,23,0,0
56,56,26,0,0
41,41,15,0,0
5,53,21,0,0
66,34,2,0,1
42,58,34,0,0
45,53,15,0,0
42,51,23,0,0
51,46,29,0,0
63,53,51,0,0
55,54,16,0,0
53,48,14,0,0
42,57,17,0,0
52,56,2,0,0
53,57,24,0,0
33,56,19,0,0
45,56,56,0,0
56,5,17,0,0
77,45,17,0,0
56,54,18,0,0
33,52,9,0,0
48,54,39,0,0
3,46,32,0,0
38,6,1,0,0
62,52,17,0,0
52,48,13,0,0
32,49,17,0,0
34,58,2,0,0
33,53,15,0,0
49,57,24,0,0
4,48,6,0,0
51,56,25,0,0
45,52,17,0,0
28,55,19,0,0
51,56,28,0,0
59,48,46,0,0
51,4,65,0,0
37,51,56,0,0
81,35,34,0,0
53,53,18,0,0
45,5,33,0,0
48,56,11,0,0
35,53,19,0,0
6,47,47,0,0
45,51,42,0,0
29,41,48,0,0
58,33,26,0,1
46,5,24,0,0
43,5,21,0,0
49,54,4,0,0
64,59,14,0,0
57,54,17,0,0
38,59,19,0,0
24,47,16,0,0
33,5,4,0,0
39,54,24,0,0
43,53,18,0,0
47,48,16,0,0
52,51,2,0,0
33,52,15,0,0
36,5,13,0,0
45,49,29,0,0
55,53,15,0,0
43,51,34,0,0
64,53,1,0,0
41,56,26,0,0
48,59,41,0,0
49,51,29,0,0
41,51,22,0,0
51,5,23,0,0
59,51,53,0,0
4,5,16,0,0
61,54,11,0,0
66,54,18,0,0
53,54,37,0,0
41,43,61,0,0
58,6,12,0,0
44,55,16,0,0
57,52,16,0,0
45,39,11,0,1
32,53,28,0,0
35,56,28,0,0
47,54,19,0,0
34,5,26,0,0
55,58,25,0,0
4,34,21,0,0
42,59,3,0,0
6,46,32,0,0
64,51,35,0,0
35,44,25,0,0
55,64,42,0,0
45,5,25,0,0
47,48,51,0,0
45,57,25,0,0
45,5,12,0,0
56,32,49,0,0
47,51,33,0,0
43,64,19,0,0
38,59,25,0,0
39,59,25,0,0
54,56,14,0,0
45,57,29,0,0
43,54,37,0,0
43,54,37,0,0
51,58,19,0,0
72,52,8,0,0
56,54,15,0,0
57,43,27,0,0
57,61,26,0,0
48,63,19,0,0
54,55,18,0,0
38,55,44,0,0
4,57,13,0,0
27,55,13,0,0
52,56,25,0,0
34,48,32,0,0
5,63,25,0,0
46,47,37,0,0
57,63,22,0,0
37,53,14,0,0
36,55,21,0,0
29,5,16,0,0
37,51,15,0,0
35,48,42,0,0
46,69,18,0,0
46,69,18,0,0
57,52,3,0,0
57,52,3,0,0
59,48,12,0,0
59,48,12,0,0
61,59,17,0,0
61,56,19,0,0
61,56,19,0,0
44,52,18,0,0
37,64,48,0,0
72,63,38,0,0
72,63,38,0,0
44,64,45,0,0
58,55,27,0,0
43,67,12,0,0
58,5,26,0,0
38,53,22,0,0
4,61,29,0,0
4,61,29,0,0
34,65,4,0,0
34,65,4,0,0
43,79,79,0,0
35,10,8,0,0
56,47,35,0,0
54,55,48,0,0
35,56,2,0,0
48,58,16,0,0
48,48,1,0,0
69,55,23,0,0
42,49,36,0,0
44,53,27,0,0
56,52,19,0,0
46,45,22,0,0
52,61,22,0,0
32,54,21,0,0
32,54,21,0,0
48,52,33,0,0
46,54,22,0,0
46,54,22,0,0
42,64,13,0,0
46,59,41,0,0
46,59,41,0,0
39,57,19,0,0
39,57,19,0,0
38,52,44,0,0
38,52,44,0,0
51,58,17,0,0
57,54,22,0,0
5,62,23,0,0
53,6,36,0,0
37,62,43,0,0
6,52,14,0,0
42,52,29,0,0
49,58,23,0,0
37,51,38,0,0
57,4,8,0,1
34,55,28,0,0
77,44,27,0,0
59,53,14,0,0
5,48,23,0,0
39,38,41,0,0
56,52,14,0,0
52,47,49,0,0
56,49,56,0,0
54,4,56,0,0
47,47,52,0,0
46,51,16,0,0
55,44,2,0,0
49,56,9,0,0
38,53,12,0,0
55,52,13,0,0
46,58,17,0,0
34,52,19,0,0
44,5,21,0,0
56,32,22,0,0
41,47,9,0,0
44,53,3,0,0
51,32,27,0,1
46,51,2,0,0
55,35,26,0,1
65,37,12,0,1
41,56,17,0,0
39,38,14,0,0
37,46,15,0,0
59,57,18,0,0
48,5,24,0,0
39,63,2,0,0
47,54,25,0,0
77,4,36,0,0
42,33,23,0,1
48,47,29,0,0
54,57,34,0,0
7,53,24,0,0
85,34,31,0,0
47,53,44,0,0
53,47,21,0,0
7,34,19,0,0
42,67,7,0,0
47,53,18,0,0
4,53,23,0,0
42,55,31,0,0
42,49,22,0,0
47,47,22,0,0
56,57,15,0,0
32,48,13,0,0
46,56,25,0,0
47,57,17,0,0
37,52,13,0,0
46,38,22,0,1
8,53,33,0,0
52,36,37,0,1
19,68,36,0,0
64,53,15,0,0
4,36,33,0,1
47,51,2,0,0
48,58,18,0,0
57,34,13,0,0
23,32,13,0,0
54,51,26,0,0
27,24,2,0,1
25,22,18,0,1
39,51,29,0,0
33,55,24,0,0
37,38,18,0,1
43,47,18,0,0
66,57,6,0,0
33,6,18,0,0
51,54,11,0,0
54,57,17,0,0
45,38,28,0,1
54,58,4,0,0
46,45,23,0,0
4,6,23,0,0
52,58,18,0,0
52,58,18,0,0
5,51,19,0,0
57,51,18,0,0
44,46,28,0,0
46,5,28,0,0
77,49,46,0,0
38,46,21,0,0
32,51,16,83,0
27,52,17,0,0
52,45,13,0,0
37,45,15,0,0
37,67,37,0,0
44,54,18,0,0
48,36,24,0,0
59,45,22,0,0
73,59,25,0,0
5,5,17,0,0
23,51,16,0,0
52,56,16,0,0
49,42,18,0,0
6,54,11,0,0
55,53,2,0,0
47,51,24,0,0
53,59,27,0,0
31,54,32,0,0
25,48,18,0,0
55,47,15,0,1
61,61,21,0,0
5,51,22,0,0
62,49,24,0,0
56,46,17,0,0
52,55,16,0,0
53,51,18,0,0
51,51,26,0,0
53,51,18,0,0
44,63,11,0,0
51,49,45,0,0
38,47,12,0,0
19,6,14,0,0
25,21,14,0,1
7,53,39,0,0
4,38,17,0,1
36,63,25,0,0
49,41,19,0,1
3,55,19,0,0
88,32,3,0,0
45,52,21,0,0
46,38,35,0,1
55,67,61,0,0
28,72,26,0,0
66,53,17,0,0
48,56,29,0,0
33,49,22,0,0
58,32,11,0,0
74,46,24,0,0
75,58,22,0,0
58,58,16,0,0
51,55,21,0,0
43,41,32,0,1
41,55,13,0,0
23,46,0,0,0
25,45,32,0,0
38,55,44,0,0
61,54,38,0,0
48,37,33,0,0
47,5,19,0,0
55,52,16,0,0
41,61,17,0,0
41,53,16,0,0
78,27,28,0,0
31,31,17,0,1
44,49,16,0,0
48,46,37,0,0
5,46,22,0,0
62,47,16,0,0
5,52,18,0,0
59,47,21,0,0
39,49,2,0,0
49,52,24,0,0
59,49,42,0,0
57,5,43,0,0
61,5,44,0,0
49,52,13,0,0
45,56,15,0,0
63,48,11,0,0
52,53,34,0,0
54,55,33,0,0
55,45,25,0,0
58,63,2,0,0
63,57,1,0,0
54,56,15,0,0
41,65,14,0,0
47,5,15,0,0
33,52,13,0,0
42,59,17,0,0
54,55,4,0,0
31,57,15,0,0
38,5,19,0,0
33,62,26,0,0
38,5,19,0,0
47,58,19,0,0
32,52,18,0,0
28,5,14,0,0
41,57,25,0,0
44,51,16,0,0
44,51,16,0,0
4,53,15,0,0
79,42,26,0,0
8,43,24,0,0
55,51,12,0,0
47,53,12,0,0
57,63,22,0,0
52,59,21,0,0
41,53,17,0,0
45,5,19,0,0
49,42,43,0,0
44,49,27,0,0
25,53,17,0,0
49,54,18,0,0
42,54,17,0,0
42,75,21,0,0
63,53,27,0,0
54,48,27,0,0
4,5,13,0,0
55,39,47,0,1
59,41,53,0,1
49,49,15,0,0
53,52,29,0,0
33,53,12,0,0
57,51,25,0,0
59,44,26,0,0
5,48,34,0,0
52,6,2,0,0
59,57,17,0,0
53,53,19,0,0
59,55,17,0,0
61,5,58,0,0
5,56,17,0,0
36,61,33,0,0
52,48,12,0,0
56,51,25,0,0
47,49,27,0,0
43,36,26,0,1
5,57,28,0,0
46,62,3,0,0
59,46,19,0,0
27,5,13,0,0
42,44,17,0,0
49,47,28,0,0
34,48,19,0,0
6,63,22,0,0
53,54,52,0,0
48,56,23,0,0
47,56,9,0,0
4,58,44,0,0
5,45,14,0,1
55,6,18,0,0
55,5,9,0,0
66,6,25,0,0
51,48,55,0,0
44,55,14,0,0
6,52,15,0,0
48,58,12,0,0
57,32,15,0,0
4,32,16,0,0
5,52,16,0,0
65,47,22,0,0
25,54,16,0,0
63,52,21,0,0
56,42,36,0,0
57,48,17,0,0
46,51,13,0,0
5,57,17,0,0
78,35,25,0,0
64,52,17,0,0
10,29,36,0,0
51,56,55,0,0
69,36,9,0,0
49,36,15,0,1
39,41,27,0,1
45,43,22,0,0
77,27,37,0,0
88,41,36,0,0
49,4,2,0,1
57,6,28,0,0
53,49,27,0,0
33,46,22,0,1
45,46,29,0,0
26,37,15,0,1
28,46,18,0,0
45,43,16,0,1
24,57,28,0,0
46,55,29,0,0
22,36,22,0,1
25,47,14,0,0
43,37,18,0,1
4,47,25,0,0
46,38,12,0,1
29,46,36,0,0
4,43,19,83,0
57,46,2,83,0
77,37,12,0,0
47,32,27,0,1
71,49,23,0,0
59,49,49,0,0
58,52,7,0,0
3,41,17,0,1
74,32,2,0,0
55,36,29,0,1
35,31,16,0,1
67,39,24,0,1
69,39,19,0,0
47,53,27,0,0
39,34,18,0,1
51,42,21,0,1
32,39,14,0,1
75,35,33,0,0
54,56,18,0,0
71,42,28,0,0
28,36,16,0,1
58,45,32,0,0
52,36,26,0,1
64,56,15,0,0
48,47,17,0,0
4,44,37,0,0
38,38,16,0,1
8,43,25,0,0
63,42,18,0,1
47,63,19,0,0
83,32,21,0,0
39,33,23,0,1
5,45,13,0,1
2,5,29,0,1
29,43,17,0,1
92,52,23,0,0
49,37,2,0,1
86,34,15,0,0
38,57,14,0,0
72,41,28,0,0
8,47,19,0,0
49,35,23,0,1
63,44,53,0,0
6,3,27,0,1
4,49,17,0,0
51,46,13,0,0
52,34,2,0,1
34,51,15,0,0
35,46,14,0,0
58,49,16,0,0
85,3,31,0,0
41,59,44,0,0
3,4,45,0,1
38,39,19,0,0
47,58,19,0,0
5,44,2,0,0
41,46,23,0,0
46,46,54,0,0
52,58,69,0,0
41,5,14,0,0
25,52,15,0,0
58,38,39,0,0
39,47,18,0,0
38,47,18,0,0
63,5,48,0,0
51,62,25,0,0
59,54,19,0,0
6,54,11,0,0
48,57,17,0,0
71,5,18,0,0
61,54,25,0,0
38,64,41,0,0
38,66,35,0,0
81,43,17,0,0
47,61,4,0,0
67,36,19,0,0
65,54,13,0,0
58,47,13,0,0
43,48,27,0,0
43,54,21,0,0
6,52,46,0,0
57,6,18,0,0
63,57,24,0,0
8,36,39,0,0
74,47,34,0,0
72,45,3,0,0
4,57,18,0,0
86,51,4,0,0
79,41,28,0,0
37,56,18,0,0
45,48,67,0,0
41,59,19,0,0
54,44,8,0,0
81,47,37,0,0
49,56,55,0,0
63,54,4,0,0
5,46,46,0,0
67,4,43,83,0
42,52,41,0,0
33,64,16,0,0
61,39,33,0,0
42,54,18,0,0
55,55,46,0,0
67,54,43,0,0
35,54,16,0,0
48,5,17,0,0
42,56,1,0,0
49,53,16,0,0
71,48,43,0,0
4,71,21,0,0
42,5,12,0,0
48,61,23,0,0
32,5,15,0,0
59,52,28,0,0
61,31,33,0,0
52,54,53,0,0
58,58,49,0,0
46,38,33,0,0
42,62,12,0,0
49,45,45,0,0
35,49,21,0,0
52,6,12,0,0
77,58,23,0,0
78,58,25,0,0
57,59,24,0,0
38,75,17,0,0
38,75,17,0,0
4,48,14,0,0
45,57,36,0,0
36,38,8,0,0
27,6,33,0,0
23,53,2,0,0
36,49,16,0,0
38,59,22,0,0
41,54,26,0,0
5,52,9,0,0
46,49,79,0,0
61,59,12,0,0
45,54,32,0,0
71,39,27,0,0
63,41,22,0,1
58,38,18,0,1
32,55,12,0,0
77,51,4,0,0
81,41,36,0,0
69,51,13,83,0
74,47,25,0,0
35,36,3,0,1
51,54,29,0,0
5,48,17,0,0
45,52,2,0,0
42,47,13,0,0
27,47,35,0,0
49,34,13,0,1
49,54,17,0,0
34,51,16,0,0
74,5,8,0,0
69,38,15,0,0
44,48,38,0,0
58,48,24,0,0
38,61,13,0,0
47,63,17,0,0
21,49,16,0,0
57,5,58,0,0
46,56,16,0,0
56,56,19,0,0
61,49,16,0,0
66,52,17,0,0
44,58,2,0,0
43,37,12,0,1
45,3,17,0,1
67,53,28,0,0
35,47,22,0,0
35,35,33,0,1
42,61,13,0,0
5,49,3,0,0
7,37,37,0,0
81,32,37,0,0
85,33,38,0,0
59,47,26,0,0
7,38,36,0,0
48,45,17,0,1
84,45,54,0,0
43,54,14,0,0
77,42,33,0,0
36,57,18,0,0
43,51,24,0,0
46,38,18,0,1
68,55,65,0,0
5,48,17,0,0
44,43,17,0,0
62,56,2,0,0
46,58,17,0,0
5,62,19,0,0
48,57,24,0,0
5,54,66,0,0
7,42,22,0,0
47,35,21,0,1
43,55,2,0,0
79,49,33,0,0
5,59,47,0,0
43,59,13,0,0
41,58,2,0,0
45,64,14,0,0
58,61,33,0,0
64,56,21,0,0
38,54,41,0,0
51,51,43,0,0
53,57,12,0,0
63,5,27,0,0
6,52,45,0,0
53,51,49,0,0
36,51,17,0,0
45,49,24,0,0
29,55,24,0,0
64,51,18,0,0
75,64,39,0,0
39,54,14,0,0
49,57,18,83,0
5,54,16,0,0
45,61,2,0,0
49,53,16,0,0
55,52,1,0,0
33,45,19,0,0
48,59,35,0,0
26,6,2,0,0
46,53,23,0,0
28,55,15,0,0
74,5,28,0,0
53,43,18,0,0
47,53,77,0,0
37,39,18,0,1
49,54,13,0,0
46,48,36,0,0
75,48,13,0,0
69,5,3,0,0
46,54,25,0,0
68,5,15,0,0
48,49,32,0,0
36,38,15,0,1
48,56,18,0,0
61,51,26,0,0
5,52,3,0,0
68,44,31,0,0
61,53,14,0,0
39,59,8,0,0
51,56,18,0,0
31,55,28,0,0
54,53,17,0,0
49,5,28,0,0
44,53,19,0,0
46,58,1,0,0
57,58,22,0,0
37,5,22,0,0
5,64,37,0,0
45,57,29,0,0
61,57,36,0,0
61,57,36,0,0
35,53,27,0,0
34,47,19,0,0
44,55,24,0,0
31,65,18,0,0
38,54,24,0,0
36,52,18,0,0
63,45,26,0,0
63,45,26,0,0
43,67,12,0,0
35,10,8,0,0
56,47,41,0,0
66,52,19,0,0
73,47,2,0,0
78,56,21,0,0
47,46,5,0,0
52,61,22,0,0
41,65,28,0,0
53,6,36,0,0
37,62,43,0,0
41,58,8,0,0
51,5,28,0,0
39,33,18,0,1
46,55,18,0,0
53,55,57,0,0
6,49,18,0,0
85,49,18,0,0
58,46,14,0,0
46,44,18,0,0
